番名,簡介,Tag,封面,平台1,平台2,星期,校園,戀愛,科幻,奇幻,日常,冒險,動作,其他
伊甸星原,在格蘭貝爾，被魔王機器人帶大的四季與蕾貝卡和藍貓哈比相遇。蕾貝卡帶著對外面世界一無所知的重力少年展開了宇宙的探險。,漫畫改編,https://i.imgur.com/melgEP7.png,AcFun https://www.acfun.cn/bangumi/aa6005279,N,六,0,0,0,1,0,1,0,0
勇者鬥惡龍 達爾大冒險,不擅長魔法的達伊被來到島上的勇者家庭教師阿邦認可才能，展開了勇者的特訓，隨後與阿邦的弟子等人一同踏上打倒魔王的旅程。,漫畫改編,https://i.imgur.com/WpXF2nN.png,巴哈姆特 https://ani.gamer.com.tw/animeVideo.php?sn=18433,N,六,0,0,0,1,0,1,0,0
異世界魔王與召喚少女的奴隸魔術Ω,本名坂本拓真的迪亞布羅是十字幻想曲中最頂尖的玩家，被雪拉和蕾姆召喚至異世界，從此展開冒險的旅程。,漫畫改編,https://i.imgur.com/5OTzWle.png,巴哈姆特 https://ani.gamer.com.tw/animeVideo.php?sn=22525,N,四,0,0,0,1,0,1,0,0
龍先生，想要買個家,膽小龍族之子萊迪為了尋找住宅而踏上旅程，途中遭遇了勇者一行，而拯救他脫離危機的是不動產商的精靈迪亞利亞。,漫畫改編,https://i.imgur.com/80zVSeW.png,bilibili https://www.bilibili.com/bangumi/play/ss38450/?from=search&seid=6576253029941098123,N,日,0,0,0,1,0,1,0,0
給不滅的你,不死是被投放到人间的球，具有幻化形态和死后重生的能力，不死在不斷相遇與離別的過程中展開一段永恆之旅。,漫畫改編,https://i.imgur.com/4ygOUP5.png,巴哈姆特 https://ani.gamer.com.tw/animeVideo.php?sn=22300,bilibili https://www.bilibili.com/bangumi/play/ss38445/?from=search&seid=2176234771913768751,一,0,0,0,1,0,1,0,0
七大罪 憤怒的審判,流德雪爾率領的光之聖痕與魔神族的聖戰激化至布里塔尼亞全境，而持續三千年旅程的梅利奧達斯和伊莉莎白又會迎來什麼結局？,漫畫改編,https://i.imgur.com/h4iqROx.png,bilibili https://www.bilibili.com/bangumi/play/ss36362/?from=search&seid=16452542779313307118,N,三,0,0,0,0,0,1,0,0
持續狩獵史萊姆三百年,相澤梓在轉生時許願成為長生不老的魔女，活了三百年等級居然累積到九十九級，不只冒險家感興趣，還有龍登門挑戰。,小說改編,https://i.imgur.com/FjYpnOZ.png,巴哈姆特 https://ani.gamer.com.tw/animeVideo.php?sn=22243,N,六,0,0,0,0,0,1,0,0
如果究極進化的RPG比現實還更像垃圾遊戲,結城宏入手完全潛行的遊戲，除了遊戲體驗過於真實，也是一款幾乎不可能過關的超級麻煩遊戲，快來攻略這個超高難度的遊戲吧！,小說改編,https://i.imgur.com/borj8vS.png,巴哈姆特 https://ani.gamer.com.tw/animeVideo.php?sn=22289,N,三,0,0,0,0,0,1,0,0
轉生成蜘蛛又怎樣,本該是高中生的我居然轉生成蜘蛛了？雖然逃離喜歡同類相食的父母，卻不小心闖進怪物們的巢穴，只是一隻小蜘蛛的我有辦法存活嗎？,小說改編,https://i.imgur.com/UCIPLap.png,巴哈姆特 https://ani.gamer.com.tw/animeVideo.php?sn=20600,bilibili https://www.bilibili.com/bangumi/play/ss37810/?from=search&seid=8662547606313613736,五,0,0,0,0,0,1,0,0
刮掉鬍子的我與撿到的女高中生,一回到家，就有個女高中生在等我，這是一部由距離微妙的女高中生和上班族所編織而成的日常戀愛喜劇。,小說改編,https://i.imgur.com/5y0qDPl.png,巴哈姆特 https://ani.gamer.com.tw/animeVideo.php?sn=22227,N,一,0,1,0,0,1,0,0,0
